;input;filtered;denoisedF;denoisedR;merged;nonchim
GCSP22BBEB1;19004;16432;16286;16349;15954;15630
GCSP22BBEB3;34286;30021;29632;29854;28523;27082
GCSP22BBEB5;22353;19925;19829;19872;19586;18591
GCSP22BBEB7;20164;18004;17892;17964;17616;16855
GCSP22BBEB9;23490;20995;20731;20888;20181;19773
GCSP22BBFL1;20279;17976;17858;17922;17554;17046
GCSP22BBFL2;21766;19086;18838;19005;18333;18002
GCSP22MLEB1;29663;27094;26625;27001;25702;23653
GCSP22MLEB3;27109;24632;24291;24544;23685;22420
GCSP22MLEB5;16738;15145;14992;15091;14731;14528
GCSP22MLEB7;27232;24544;24231;24447;23450;22160
GCSP22MLFL1;16473;14704;14535;14648;14242;14043
GCSP22MLFL3;35002;31139;30718;31016;29715;27808
GCSP22MLFL5;27326;24314;24191;24213;23775;23066
GCSP22SSEB1;21066;18613;18507;18559;18193;17698
GCSP22SSEB3;23951;21166;21039;21106;20731;20071
GCSP22SSEB5;25763;23193;23082;23120;22701;21691
GCSP22SSEB7;22405;19895;19557;19730;18643;17532
GCSP22SSFL1;19123;16491;16400;16418;16106;15924
GCSP22SSFL3;41967;37474;36473;37318;34899;34050
GCSP22SSFL5;29371;26183;25934;26097;25352;24949
GCSU21BBFL2;38992;34610;30606;33644;25997;24068
GCSU21BBFL3;22862;20353;19951;20234;19211;18540
GCSU21MLFL1;21467;19307;18338;18844;16570;15282
GCSU21MLFL2;25969;23386;22724;23147;21161;19903
GCSU21SSFL1;34526;30168;28527;29851;25832;24757
GCSU21SSFL3;25277;21679;21198;21499;20171;19465
GCSU22MLEB1;16256;14579;14484;14508;14148;13894
GCSU22MLEB2;21985;19538;19247;19442;18693;18394
GCSU22MLEB3;15642;13739;13625;13677;13344;13132
GCSU22MLEB4;21014;18519;18273;18443;17749;17483
GCSU22MLEB5;21022;18306;18229;18255;17944;17566
GCSU22MLEB6;15263;13572;13455;13509;13120;12725
GCSU22MLEB7;16449;14763;14671;14708;14427;13777
GCWI22BBEB1;31277;26497;26154;26265;25078;24403
GCWI22BBFL1;22364;19568;19217;19378;18375;17783
GCWI22BBFL2;33080;29165;28358;28866;26969;25341
GCWI22MLEB1;16657;14932;14647;14796;13960;13698
GCWI22MLFL1;21798;19343;18766;19115;17535;17051
GCWI22MLFL2;15334;13516;13257;13417;12660;12397
GCWI22SSEB1;20655;17470;17010;17212;15880;15683
GCWI22SSEB2;10977;9612;9505;9561;9281;9194
GCWI22SSEB3;21731;19093;18876;18965;18386;17841
GCWI22SSFL1;22743;20654;20300;20519;19437;18436
GCWI22SSFL2;26723;23957;23189;23650;21616;20226
OESP22BBEB1;19941;17940;17807;17856;17396;16570
OESP22BBEB3;29172;26030;25763;25914;25080;23677
OESP22BBEB7;29520;26292;26012;26109;25150;24396
OESP22BBEB8;18643;16449;16357;16373;16032;15483
OESP22BBFL2;26697;23240;23134;23191;22797;22005
OESP22BBFL3;26164;22346;22221;22249;21813;20898
OESP22BBFL5;20925;19011;18872;18968;18533;17785
OESP22MGEB1;30278;25021;24803;24908;24178;23441
OESP22MGEB3;28105;25218;24864;25053;24073;23169
OESP22MGEB5;34009;30146;29529;29924;28100;27319
OESP22MGEB7;42002;37296;36854;37121;35692;34639
OESP22MGFL1;35150;30635;30429;30540;29679;28926
OESP22MGFL3;31009;26944;26528;26755;25548;25035
OESP22MGFL5;33635;29461;29310;29310;28692;27892
OESP22MLEB1;24556;21858;21483;21698;20718;20146
OESP22MLEB2;27333;24266;23811;24114;22848;22144
OESP22MLEB3;30165;26743;25987;26561;24428;23489
OESP22MLFL1;25700;20834;20537;20723;19843;19231
OESP22MLFL2;22652;20483;20341;20412;19971;19224
OESP22MLFL3;25048;22408;22202;22304;21678;21096
OESP22MLFL4;23693;21025;20719;20899;20057;19792
OESP22SSEB1;25933;23413;23169;23281;22502;22002
OESP22SSEB2;31816;28795;28541;28728;27942;26925
OESP22SSEB3;35286;31263;30979;31181;30161;28812
OESP22SSEB4;29910;26724;26429;26624;25706;24729
OESP22SSFL1;27753;24834;24709;24767;24354;23658
OESP22SSFL3;27967;25440;25234;25353;24703;23767
OESP22SSFL5;34916;31622;31270;31492;30455;28401
OESU21BBFL1;21646;19179;18986;19066;18498;17850
OESU21BBFL4;35967;32107;31570;31917;30333;28444
OESU21MGFL2;15946;13962;13788;13870;13364;13138
OESU21MGFL6;19494;17288;17181;17218;16843;16526
OESU21MLEB1;64;50;47;46;38;33
OESU21MLEB2;39888;31302;30462;31065;28821;27722
OESU21MLEB3;25809;21879;21530;21691;20551;20092
OESU21MLFL1;43662;38824;38033;38517;35555;33448
OESU21MLFL2;35777;31553;30488;31290;27957;25845
OESU21SSFL2;31636;28159;27792;27940;26732;26260
OESU21SSFL6;26215;23050;22537;22873;21532;20977
OESU22MLEB1;22830;19685;19312;19540;18502;18220
OESU22MLEB2;17547;14681;14524;14596;14086;13878
OESU22MLEB3;12836;10961;10872;10932;10639;10465
OESU22MLEB4;31658;26297;25721;26018;24421;23989
OEWI22BBEB1;19148;16028;15712;15894;15044;14717
OEWI22BBEB4;15945;12946;12624;12844;11900;11413
OEWI22BBEB5;24040;21193;20779;20969;19682;18997
OEWI22BBEB7;17725;15914;15688;15799;15161;14786
OEWI22BBFL1;20477;18139;17702;17978;16771;16193
OEWI22BBFL3;20557;18050;17357;17779;15895;15319
OEWI22BBFL7;22118;19411;18816;19247;17589;16731
OEWI22MGEB1;19438;16342;16043;16160;15296;15065
OEWI22MGEB3;21031;17716;17391;17516;16535;16140
OEWI22MGEB5;19705;16973;16700;16760;15876;15565
OEWI22MGEB9;21953;18927;18603;18717;17711;17140
OEWI22MGFL1;34515;30302;28678;29797;25571;24606
OEWI22MGFL3;37055;32477;30903;32018;27772;26624
OEWI22MGFL7;22118;18993;18561;18796;17458;17032
OEWI22MLEB1;21853;19256;18895;19073;17896;17123
OEWI22MLEB3;24294;21267;20804;21078;19533;19041
OEWI22MLEB7;20446;18013;17779;17856;16963;16786
OEWI22MLEB9;24128;20666;20252;20451;19231;18973
OEWI22MLFL1;20387;17549;17091;17363;15955;15546
OEWI22MLFL5;27154;23474;22628;23085;20628;20093
OEWI22MLFL7;22364;19698;19435;19547;18690;18041
OEWI22SSEB1;24144;21041;20577;20852;19396;18489
OEWI22SSEB5;18974;16661;16329;16532;15527;14854
OEWI22SSEB7;23710;20798;19921;20377;17969;17202
OEWI22SSEB9;18650;16564;16220;16400;15446;14900
OEWI22SSFL1;13341;11768;11510;11663;10929;10579
OEWI22SSFL5;15864;13944;13752;13864;13387;12918
OEWI22SSFL8;27138;22341;22011;22190;21176;20599
WFSP22BBEB;35350;29817;24848;28449;17583;16264
WFSP22BBFL;27413;23968;20560;23109;15205;13035
WFSP22MGEB;11746;10320;8900;10018;6408;6014
WFSP22MGFL;34419;30255;25377;29215;18257;15895
WFSP22MLEB;12319;10450;8772;9996;6618;5547
WFSP22MLFL;26111;21701;18410;20880;13986;11549
WFSP22SSEB;24782;21000;17327;20119;12208;10234
WFSP22SSFL;27717;23484;19779;22578;14732;11977
WFSU21MLFL;26502;21401;17088;20414;12541;11049
WFSU21SSFL;6996;5641;4696;5441;3537;3151
WFSU22MLEB;17464;14510;12156;13894;9267;7774
WFWI22BBEB;11429;10008;7853;9496;4900;4417
WFWI22BBFL;35965;31538;24948;29485;17042;15912
WFWI22MGFL;5384;4568;3619;4313;2497;2370
WFWI22SSFL;37488;32027;25036;29580;17297;16510